unit,age,sex,geo\time	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
NR,TOTAL,T,FRC1	1642440 	1642115 	1642734 	1641130 	1642687 	1642551 	1641205 	1637941 	1632887 	1628737 	1623815 	1618321 
NR,TOTAL,T,FRC2	1168208 	1171763 	1173440 	1175684 	1177096 	1178072 	1179735 	1180397 	1178536 	1179070 	1177762 	1176196 
NR,TOTAL,T,FRD1	1470880 	1473494 	1475684 	1477209 	1478712 	1479378 	1479484 	1477349 	1474257 	1471632 	1467715 	1463606 
NR,TOTAL,T,FRD2	1832942 	1836954 	1839393 	1845547 	1849652 	1856267 	1859647 	1858580 	1856221 	1855845 	1853117 	1849826 
NR,TOTAL,T,FRE1	4033197 	4038157 	4042015 	4050756 	4060741 	4076061 	4077886 	4074448 	4072379 	4072977 	4066719 	4061166 
NR,TOTAL,T,FRE2	1911157 	1914844 	1918155 	1922342 	1927142 	1930095 	1932090 	1932422 	1931436 	1931131 	1929189 	1926629 
NR,TOTAL,T,FRF1	1843053 	1845687 	1852325 	1859869 	1868183 	1872949 	1879265 	1884150 	1889589 	1898533 	1903646 	1908494 
NR,TOTAL,T,FRF2	1337953 	1335923 	1336053 	1339270 	1339008 	1339299 	1338255 	1333248 	1328134 	1323396 	1317548 	1311830 
NR,TOTAL,T,FRF3	2350112 	2350920 	2350657 	2349816 	2345197 	2342397 	2341531 	2337788 	2331863 	2328460 	2322213 	2315678 
NR,TOTAL,T,FRG0	3539048 	3571495 	3601113 	3632614 	3660852 	3690833 	3718512 	3737632 	3757600 	3781423 	3800348 	3818421 
NR,TOTAL,T,FRH0	3175064 	3199066 	3217767 	3237097 	3258707 	3276543 	3293850 	3306529 	3318904 	3335414 	3347004 	3358524 
NR,TOTAL,T,FRI1	3206137 	3232352 	3254233 	3285970 	3316889 	3343326 	3370578 	3393297 	3414585 	3437398 	3458041 	3478538 
NR,TOTAL,T,FRI2	741785 	742771 	741072 	738633 	737509 	738120 	738031 	736015 	734528 	731285 	728859 	726253 
NR,TOTAL,T,FRI3	1760575 	1770363 	1777773 	1783991 	1789779 	1797698 	1802873 	1806291 	1807865 	1811095 	1812353 	1813633 
NR,TOTAL,T,FRJ1	2610890 	2636350 	2670046 	2700266 	2729721 	2751592 	2772683 	2793303 	2810383 	2830361 	2847554 	2864782 
NR,TOTAL,T,FRJ2	2862707 	2881756 	2903420 	2926592 	2954157 	2979161 	3001502 	3015132 	3034719 	3055135 	3071427 	3087068 
NR,TOTAL,T,FRK1	1343964 	1347387 	1350682 	1354104 	1357668 	1360461 	1362367 	1363392 	1364156 	1368536 	1370432 	1371820 
NR,TOTAL,T,FRK2	6174040 	6230691 	6283541 	6341160 	6399927 	6460505 	6515331 	6553497 	6584131 	6625923 	6660101 	6692326 
NR,TOTAL,T,FRL0	4889053 	4899155 	4916069 	4935576 	4953675 	4983438 	5007977 	5021928 	5030890 	5052832 	5065696 	5077582 
NR,TOTAL,T,FRM0	305674 	309693 	314486 	316257 	320208 	324212 	327283 	330455 	334938 	338554 	342256 	345867 
NR,TOTAL,T,FRXX	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 
NR,TOTAL,T,FRY1	: 	: 	: 	: 	437713 	435293 	433674 	429856 	425587 	421694 	417161 	412682 
NR,TOTAL,T,FRY2	396404 	394173 	392291 	388364 	385551 	383911 	380877 	376480 	372594 	368783 	364413 	359821 
NR,TOTAL,T,FRY3	224469 	229040 	237549 	239648 	244118 	252338 	259865 	269352 	268700 	276128 	282107 	288086 
NR,TOTAL,T,FRY4	816364 	821136 	828581 	833944 	835103 	842767 	850727 	852924 	853659 	855961 	856547 	856858 
NR,TOTAL,T,FRY5	: 	: 	: 	: 	: 	223713 	232189 	240987 	250143 	259621 	269186 	278926 
NR,TOTAL,T,HR03	1415015 	1415971 	1413426 	1410551 	1407798 	1405908 	1402229 	1394290 	1387363 	1378339 	1374071 	1373802 
NR,TOTAL,T,HR04	2894781 	2886876 	2876431 	2865433 	2854342 	2840901 	2823087 	2796379 	2766850 	2727154 	2702175 	2684363 
NR,TOTAL,T,HU11	1712210 	1721556 	1733685 	1727495 b	1735711 	1744665 	1757618 	1759407 	1752704 	1749734 	1752286 	1750216 
NR,TOTAL,T,HU12	1213290 	1229880 	1237561 	1213323 b	1218172 	1220748 	1226115 	1234541 	1247372 	1261864 	1278874 	1297102 
NR,TOTAL,T,HU21	1103132 	1098654 	1094104 	1079589 b	1074702 	1069190 	1063408 	1060703 	1056097 	1055570 	1058236 	1060755 
NR,TOTAL,T,HU22	998187 	996390 	994698 	984399 b	985279 	984521 	983925 	983933 	983251 	985457 	989343 	994549 
NR,TOTAL,T,HU23	952982 	947986 	940585 	931215 b	925180 	917492 	909130 	900868 	894223 	886840 	879596 	874573 
NR,TOTAL,T,HU31	1223238 	1209142 	1194697 	1200831 b	1189441 	1176894 	1164813 	1153714 	1143902 	1134945 	1126360 	1118577 
NR,TOTAL,T,HU32	1502409 	1492502 	1481922 	1498795 b	1491659 	1484375 	1479522 	1474383 	1468088 	1460096 	1450960 	1442660 
NR,TOTAL,T,HU33	1325527 	1318214 	1308470 	1296278 b	1288654 	1279480 	1271040 	1262936 	1251924 	1243865 	1237101 	1231094 
NR,TOTAL,T,HUXX	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,TOTAL,T,IE04	: 	: 	: 	832082 	834236 	833748 	833830 	839204 	848383 	856252 	867947 e	877832 
NR,TOTAL,T,IE05	: 	: 	: 	1547097 	1556247 	1563179 	1567206 	1575504 	1591718 	1604865 	1624381 e	1641057 
NR,TOTAL,T,IE06	: 	: 	: 	2210108 	2219296 	2240925 	2276591 	2311578 	2344282 	2369275 	2411912 e	2445551 
NR,TOTAL,T,IS00	319368 	317630 	318452 	319575 	321857 	325671 	329100 	332529 	338349 	348450 	356991 	364134 
NR,TOTAL,T,ITC1	4356322 	4362041 	4364309 	4357663 	4374052 	4436798 	4424467 	4404246 	4392526 	4375865 	4328565 b	4311217 
NR,TOTAL,T,ITC2	126369 	126686 	126761 	126620 	127844 	128591 	128298 	127329 	126883 	126202 	125653 b	125034 
NR,TOTAL,T,ITC3	1577301 	1576443 	1574132 	1567339 	1565127 	1591939 	1583263 	1571053 	1565307 	1556981 	1532980 b	1524826 
NR,TOTAL,T,ITC4	9545515 	9600951 	9663872 	9700881 	9794525 	9973397 	10002615 	10008349 	10019166 	10036258 	10010833 b	10027602 
NR,TOTAL,T,ITF1	1306029 	1307778 	1307273 	1306416 	1312507 	1333939 	1331574 	1326513 	1322247 	1315196 	1300645 b	1293941 
NR,TOTAL,T,ITF2	316955 	315536 	314342 	313145 	313341 	314725 	313348 	312027 	310449 	308493 	303790 b	300516 
NR,TOTAL,T,ITF3	5750382 	5758375 	5765850 	5764424 	5769750 	5869965 	5861529 	5850850 	5839084 	5826860 	5740291 b	5712143 
