event_link,event_wikidata_id,event_name,event_sport_wikidata_id,event_sport,event_part_of_wikidata_id,event_part_of,medal,medalist_link,medalist_wikidata_id,medalist_name,delegation_link,delegation_wikidata_id,delegation_name,country_medal_wikidata_id,country_medal,date_of_birth,sex_or_gender_wikidata_id,sex_or_gender,place_of_birth_wikidata_id,place_of_birth,place_of_birth_coordinates,lat,lon,place_of_birth_located_in_wikidata_id,place_of_birth_located_in,nuts0_id,nuts0_name,nuts1_id,nuts1_name,nuts2_id,nuts2_name,nuts2_population,nuts2_gdp,nuts3_id,nuts3_name,nuts3_population,nuts3_gdp
/wiki/Cycling_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_team_sprint,Q64514096,cycling at the 2020 Summer Olympics – men's team sprint,Q39080749,cycling at the 2020 Summer Olympics,Q221635,track cycling,bronze,/wiki/Florian_Grengbo,Q83788762,Florian Grengbo,/wiki/France_at_the_2020_Summer_Olympics,Q33019138,France at the 2020 Summer Olympics,Q142,France,2000-08-23,Q6581097,male,Q133069,Bourg-en-Bresse,"46.204722222222,5.2280555555556",46.204722222222,5.2280555555556,Q700721,arrondissement of Bourg-en-Bresse,FR,France,FRK,Auvergne-Rhône-Alpes,FRK2,Rhône-Alpes,6692326,242822.87,FRK21,Ain,657907,NA
/wiki/Cycling_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_team_sprint,Q64514096,cycling at the 2020 Summer Olympics – men's team sprint,Q39080749,cycling at the 2020 Summer Olympics,Q221635,track cycling,bronze,/wiki/Rayan_Helal,Q50308610,Rayan Helal,/wiki/France_at_the_2020_Summer_Olympics,Q33019138,France at the 2020 Summer Olympics,Q142,France,1999-01-21,Q6581097,male,Q243868,Saint-Martin-d'Hères,"45.183611111111,5.7552777777778",45.183611111111,5.7552777777778,Q1727266,canton of Saint-Martin-d'Hères-Nord,FR,France,FRK,Auvergne-Rhône-Alpes,FRK2,Rhône-Alpes,6692326,242822.87,FRK24,Isère,1269323,NA
/wiki/Cycling_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_team_sprint,Q64514096,cycling at the 2020 Summer Olympics – men's team sprint,Q39080749,cycling at the 2020 Summer Olympics,Q221635,track cycling,bronze,/wiki/S%C3%A9bastien_Vigier,Q27663503,Sebastien Vigier,/wiki/France_at_the_2020_Summer_Olympics,Q33019138,France at the 2020 Summer Olympics,Q142,France,1997-04-18,Q6581097,male,Q205580,Palaiseau,"48.718333333333,2.2497222222222",48.718333333333,2.2497222222222,Q979470,Seine-et-Oise,FR,France,FR1,Ile-de-France,FR10,Ile-de-France,12291557,742569.25,FR104,Essonne,1309566,NA
/wiki/Cycling_at_the_2020_Summer_Olympics_%E2%80%93_Women%27s_team_pursuit,Q67151040,cycling at the 2020 Summer Olympics – women's team pursuit,Q39080749,cycling at the 2020 Summer Olympics,Q2215841,cycle sport,gold,/wiki/Franziska_Brau%C3%9Fe,Q27468199,Franziska Brauße,/wiki/Germany_at_the_2020_Summer_Olympics,Q42914232,Germany at the 2020 Summer Olympics,Q183,Germany,1998-11-20,Q6581072,female,Q82881,Metzingen,"48.536666666667,9.2858333333333",48.536666666667,9.2858333333333,Q8217,Reutlingen,DE,Germany,DE1,Baden-Württemberg,DE14,Tübingen,1863966,83008.99,DE141,Reutlingen,287034,NA
/wiki/Cycling_at_the_2020_Summer_Olympics_%E2%80%93_Women%27s_team_pursuit,Q67151040,cycling at the 2020 Summer Olympics – women's team pursuit,Q39080749,cycling at the 2020 Summer Olympics,Q2215841,cycle sport,gold,/wiki/Lisa_Brennauer,Q91193,Lisa Brennauer,/wiki/Germany_at_the_2020_Summer_Olympics,Q42914232,Germany at the 2020 Summer Olympics,Q183,Germany,1988-06-08,Q6581072,female,Q3994,Kempten,"47.7333333333333,10.3166666666667",47.7333333333333,10.3166666666667,Q10557,Swabia,DE,Germany,DE2,Bayern,DE27,Schwaben,1899442,77042.86,DE273,"Kempten (Allgäu), Kreisfreie Stadt",69151,NA
/wiki/Cycling_at_the_2020_Summer_Olympics_%E2%80%93_Women%27s_team_pursuit,Q67151040,cycling at the 2020 Summer Olympics – women's team pursuit,Q39080749,cycling at the 2020 Summer Olympics,Q2215841,cycle sport,gold,/wiki/Mieke_Kr%C3%B6ger,Q683392,Mieke Kröger,/wiki/Germany_at_the_2020_Summer_Olympics,Q42914232,Germany at the 2020 Summer Olympics,Q183,Germany,1993-07-18,Q6581072,female,Q2112,Bielefeld,"52.016666666667,8.5333333333333",52.016666666667,8.5333333333333,Q7923,Detmold Government Region,DE,Germany,DEA,Nordrhein-Westfalen,DEA4,Detmold,2055724,80219.09,DEA41,"Bielefeld, Kreisfreie Stadt",334195,NA
/wiki/Cycling_at_the_2020_Summer_Olympics_%E2%80%93_Women%27s_team_pursuit,Q67151040,cycling at the 2020 Summer Olympics – women's team pursuit,Q39080749,cycling at the 2020 Summer Olympics,Q2215841,cycle sport,silver,/wiki/Katie_Archibald,Q15623158,Katie Archibald,/wiki/Great_Britain_at_the_2020_Summer_Olympics,Q50014472,Great Britain at the 2020 Summer Olympics,Q145,United Kingdom,1994-03-12,Q6581072,female,Q1070428,Chertsey,"51.3902,-0.5074",51.3902,-0.5074,Q9324032,Runnymede,UK,NA,UKJ,South East (England),UKJ2,"Surrey, East and West Sussex",NA,NA,UKJ25,West Surrey,NA,NA
/wiki/Cycling_at_the_2020_Summer_Olympics_%E2%80%93_Women%27s_team_pursuit,Q67151040,cycling at the 2020 Summer Olympics – women's team pursuit,Q39080749,cycling at the 2020 Summer Olympics,Q2215841,cycle sport,silver,/wiki/Laura_Kenny,Q272598,Laura Kenny,/wiki/Great_Britain_at_the_2020_Summer_Olympics,Q50014472,Great Britain at the 2020 Summer Olympics,Q145,United Kingdom,1992-04-24,Q6581072,female,Q852729,Harlow,"51.783333333333,0.11666666666667",51.783333333333,0.11666666666667,Q21713095,Harlow,UK,NA,UKH,East of England,UKH3,Essex,NA,NA,UKH35,West Essex,NA,NA
/wiki/Cycling_at_the_2020_Summer_Olympics_%E2%80%93_Women%27s_team_pursuit,Q67151040,cycling at the 2020 Summer Olympics – women's team pursuit,Q39080749,cycling at the 2020 Summer Olympics,Q2215841,cycle sport,silver,/wiki/Neah_Evans,Q27451900,Neah Evans,/wiki/Great_Britain_at_the_2020_Summer_Olympics,Q50014472,Great Britain at the 2020 Summer Olympics,Q145,United Kingdom,1990-08-01,Q6581072,female,Q1010044,Langbank,"55.9241,-4.58634",55.9241,-4.58634,Q211091,Renfrewshire,UK,NA,UKM,Scotland,UKM8,West Central Scotland,NA,NA,UKM83,"Inverclyde, East Renfrewshire and Renfrewshire",NA,NA
/wiki/Cycling_at_the_2020_Summer_Olympics_%E2%80%93_Women%27s_team_sprint,Q77724390,cycling at the 2020 Summer Olympics – women's team sprint,Q39080749,cycling at the 2020 Summer Olympics,Q221635,track cycling,silver,/wiki/Lea_Friedrich,Q55589958,Lea Friedrich,/wiki/Germany_at_the_2020_Summer_Olympics,Q42914232,Germany at the 2020 Summer Olympics,Q183,Germany,2000-01-07,Q6581072,female,Q536647,Dassow,"53.9,10.966666666667",53.9,10.966666666667,Q2876,Nordwestmecklenburg District,DE,Germany,DE8,Mecklenburg-Vorpommern,DE80,Mecklenburg-Vorpommern,1608138,46711.17,DE80M,Nordwestmecklenburg,157322,NA
/wiki/Cycling_at_the_2020_Summer_Olympics_%E2%80%93_Women%27s_team_sprint,Q77724390,cycling at the 2020 Summer Olympics – women's team sprint,Q39080749,cycling at the 2020 Summer Olympics,Q221635,track cycling,silver,/wiki/Emma_Hinze,Q17425369,Emma Hinze,/wiki/Germany_at_the_2020_Summer_Olympics,Q42914232,Germany at the 2020 Summer Olympics,Q183,Germany,1997-09-17,Q6581072,female,Q3185,Hildesheim,"52.15,9.95",52.15,9.95,Q5978,Hildesheim,DE,Germany,DE9,Niedersachsen,DE92,Hannover,2148238,85381.57,DE925,Hildesheim,275817,NA
/wiki/Cycling_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_cross-country,Q65242237,cycling at the 2020 Summer Olympics – men's cross-country,Q39080749,cycling at the 2020 Summer Olympics,Q2215841,cycle sport,gold,/wiki/Tom_Pidcock,Q28033373,Thomas Pidcock,/wiki/Great_Britain_at_the_2020_Summer_Olympics,Q50014472,Great Britain at the 2020 Summer Olympics,Q145,United Kingdom,1999-07-30,Q6581097,male,Q39121,Leeds,"53.799722222222,-1.5491666666667",53.799722222222,-1.5491666666667,Q774015,Leeds,UK,NA,UKE,Yorkshire and the Humber,UKE4,West Yorkshire,NA,NA,UKE42,Leeds,NA,NA
/wiki/Cycling_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_cross-country,Q65242237,cycling at the 2020 Summer Olympics – men's cross-country,Q39080749,cycling at the 2020 Summer Olympics,Q2215841,cycle sport,silver,/wiki/Mathias_Fl%C3%BCckiger,Q3298563,Mathias Flückiger,/wiki/Switzerland_at_the_2020_Summer_Olympics,Q42913992,Switzerland at the 2020 Summer Olympics,Q39,Switzerland,1988-09-27,Q6581097,male,Q70,Bern,"46.94798,7.44743",46.94798,7.44743,Q666217,Bern-Mittelland administrative district,CH,Switzerland,CH0,Schweiz/Suisse/Svizzera,CH02,Espace Mittelland,1886584,NA,CH021,Bern,1039474,NA
